top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
155,37.8,Lithium-ion,192.0,235.0,156,225,7.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3673,1683,1518,Hatchback
155,37.8,Lithium-ion,192.0,235.0,149,225,7.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3673,1683,1518,Hatchback
200,50.8,Lithium-ion,102.0,345.0,158,280,5.9,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4187,1779,1557,SUV
200,50.8,Lithium-ion,102.0,345.0,158,280,6.2,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4187,1779,1557,SUV
150,60.0,Lithium-ion,216.0,310.0,156,315,7.5,78.0,CCS,1000.0,496.0,5,FWD,JC - Medium,4680,1865,1700,SUV
160,60.0,Lithium-ion,216.0,315.0,150,350,7.0,78.0,CCS,1000.0,472.0,5,FWD,JC - Medium,4805,1880,1641,SUV
150,50.8,Lithium-ion,102.0,260.0,128,320,9.0,85.0,CCS,0.0,400.0,5,FWD,JB - Compact,4173,1781,1532,SUV
200,50.8,Lithium-ion,102.0,345.0,164,310,6.0,85.0,CCS,0.0,400.0,5,FWD,JB - Compact,4173,1781,1505,SUV
160,52.0,Lithium-ion,184.0,285.0,138,310,7.4,70.0,CCS,500.0,326.0,5,FWD,B - Compact,3997,1823,1512,Hatchback
170,52.0,Lithium-ion,184.0,300.0,144,305,6.4,70.0,CCS,500.0,326.0,5,FWD,B - Compact,3997,1823,1512,Hatchback
210,75.8,Lithium-ion,150.0,435.0,146,465,6.0,150.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,Station/Estate
210,94.9,Lithium-ion,180.0,565.0,151,575,5.4,200.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,Station/Estate
210,94.9,Lithium-ion,180.0,855.0,157,560,4.5,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1455,Station/Estate
210,75.8,Lithium-ion,150.0,435.0,136,495,6.0,150.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan
210,94.9,Lithium-ion,180.0,565.0,141,610,5.4,200.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan
210,94.9,Lithium-ion,180.0,855.0,147,590,4.7,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1455,Liftback Sedan
160,59.0,Lithium-ion,216.0,310.0,156,340,8.1,110.0,CCS,1000.0,520.0,5,RWD,JC - Medium,4588,1865,1614,SUV
180,77.0,Lithium-ion,288.0,545.0,162,435,6.7,120.0,CCS,1000.0,535.0,5,RWD,JC - Medium,4588,1865,1614,SUV
180,77.0,Lithium-ion,288.0,679.0,165,410,6.6,120.0,CCS,1200.0,535.0,5,AWD,JC - Medium,4588,1865,1614,SUV
180,77.0,Lithium-ion,288.0,679.0,165,415,5.4,120.0,CCS,1200.0,535.0,5,AWD,JC - Medium,4588,1865,1614,SUV
160,59.0,Lithium-ion,216.0,310.0,159,325,8.1,110.0,CCS,1000.0,520.0,5,RWD,JC - Medium,4588,1865,1632,SUV
180,77.0,Lithium-ion,288.0,545.0,169,420,6.7,120.0,CCS,1000.0,520.0,5,RWD,JC - Medium,4588,1865,1632,SUV
180,77.0,Lithium-ion,288.0,679.0,171,395,6.6,120.0,CCS,1200.0,520.0,5,AWD,JC - Medium,4588,1865,1632,SUV
180,77.0,Lithium-ion,288.0,679.0,171,395,5.4,120.0,CCS,1200.0,520.0,5,AWD,JC - Medium,4588,1865,1632,SUV
